         2633835 function calls (2585403 primitive calls) in 63.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.197    0.197    0.574    0.574 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:891(_list_of_dict_to_arrays)
        2    0.000    0.000    0.568    0.284 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:1728(subplots)
        4    0.000    0.000    0.558    0.140 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:431(draw)
        2    0.000    0.000    0.450    0.225 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:903(figure)
        2    0.000    0.000    0.450    0.225 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:573(new_figure_manager)
     3626    0.005    0.000    0.445    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
        2    0.000    0.000    0.381    0.191 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:2984(tight_layout)
        2    0.000    0.000    0.381    0.191 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\figure.py:3633(tight_layout)
        2    0.000    0.000    0.381    0.191 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\layout_engine.py:168(execute)
        2    0.000    0.000    0.377    0.188 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\_tight_layout.py:194(get_tight_layout_figure)
        2    0.000    0.000    0.376    0.188 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\_tight_layout.py:20(_auto_adjust_subplotpars)
     18/6    0.000    0.000    0.374    0.062 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\artist.py:1478(_get_tightbbox_for_layout_only)
        6    0.000    0.000    0.374    0.062 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:4701(get_tightbbox)
       30    0.001    0.000    0.360    0.012 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1411(get_tightbbox)
        2    0.000    0.000    0.351    0.176 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:3657(new_figure_manager)
        2    0.000    0.000    0.349    0.175 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:3666(new_figure_manager_given_figure)
        2    0.000    0.000    0.349    0.175 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:1825(new_manager)
        2    0.000    0.000    0.349    0.174 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:539(create_with_canvas)
      186    0.010    0.000    0.347    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1335(_update_ticks)
       24    0.001    0.000    0.345    0.014 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1469(draw)
4228/3928    0.041    0.000    0.313    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:389(__init__)
     3626    0.014    0.000    0.305    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6201(_construct_result)
   300001    0.260    0.000    0.304    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:915(<genexpr>)
       67    0.005    0.000    0.295    0.004 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:7770(get_values_for_csv)
     2426    0.002    0.000    0.293    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arraylike.py:38(__eq__)
       16    0.000    0.000    0.292    0.018 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:1400(_get_values_for_csv)
       16    0.000    0.000    0.291    0.018 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:459(get_values_for_csv)
       18    0.001    0.000    0.291    0.016 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
     2426    0.008    0.000    0.291    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6110(_cmp_method)
       49    0.000    0.000    0.290    0.006 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\blocks.py:775(get_values_for_csv)
     3469    0.257    0.000    0.257    0.000 {method 'astype' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.255    0.025 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\legend.py:765(draw)
        2    0.000    0.000    0.240    0.120 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2325(__init__)
        2    0.239    0.119    0.239    0.119 {built-in method _tkinter.create}
      432    0.009    0.000    0.230    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:840(draw)
      815    0.032    0.000    0.229    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:416(_get_layout)
   150/10    0.001    0.000    0.208    0.021 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\artist.py:30(draw_wrapper)
    70/10    0.001    0.000    0.208    0.021 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:374(draw)
      498    0.007    0.000    0.171    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:1033(get_window_extent)
      150    0.001    0.000    0.164    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:286(draw)
       88    0.001    0.000    0.160    0.002 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:235(draw_text)
        1    0.000    0.000    0.159    0.159 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:928(_finalize_columns_and_data)
        1    0.000    0.000    0.159    0.159 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:1006(convert_object_array)
        1    0.000    0.000    0.159    0.159 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:1070(<listcomp>)
        5    0.159    0.032    0.159    0.032 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\construction.py:1028(convert)
      186    0.001    0.000    0.157    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1792(get_major_ticks)
      108    0.000    0.000    0.151    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1733(_get_tick)
     1200    0.001    0.000    0.142    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arraylike.py:68(__and__)
     1200    0.004    0.000    0.141    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6123(_logical_method)
       54    0.001    0.000    0.140    0.003 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:2385(_get_tick_boxes_siblings)
      108    0.000    0.000    0.134    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1402(_get_ticklabel_bboxes)
      108    0.001    0.000    0.134    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1404(<listcomp>)
    43/14    0.001    0.000    0.126    0.009 <frozen importlib._bootstrap>:1165(_find_and_load)
    43/14    0.000    0.000    0.126    0.009 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      530    0.015    0.000    0.120    0.000 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:754(draw)
       18    0.001    0.000    0.119    0.007 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:3226(_update_title_position)
        2    0.000    0.000    0.118    0.059 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\figure.py:792(subplots)
        2    0.000    0.000    0.118    0.059 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\gridspec.py:250(subplots)
      108    0.005    0.000    0.118    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:69(__init__)
       36    0.001    0.000    0.116    0.003 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:2832(_update_label_position)
        6    0.000    0.000    0.116    0.019 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\figure.py:651(add_subplot)
        6    0.000    0.000    0.114    0.019 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:633(__init__)
    35/13    0.000    0.000    0.114    0.009 <frozen importlib._bootstrap>:666(_load_unlocked)
        2    0.000    0.000    0.113    0.056 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\image.py:1593(imsave)
  255/115    0.008    0.000    0.112    0.001 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\offsetbox.py:487(_get_bbox_and_child_offsets)
        2    0.000    0.000    0.111    0.056 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2518(save)
    30/12    0.000    0.000    0.110    0.009 <frozen importlib._bootstrap_external>:934(exec_module)
   101/22    0.000    0.000    0.108    0.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
