modulation,snr,detector,pd,pfa
bpsk,8.57142857142857,fft_peak,1.0,0.558
bpsk,8.57142857142857,iq_energy,1.0,0.016
bpsk,8.57142857142857,probabilistic,1.0,0.012
bpsk,10.714285714285715,cnn,1.0,1.0
bpsk,10.714285714285715,fft_peak,1.0,0.614
bpsk,10.714285714285715,iq_energy,1.0,0.008
bpsk,10.714285714285715,probabilistic,1.0,0.004
bpsk,12.857142857142858,cnn,1.0,1.0
bpsk,12.857142857142858,fft_peak,1.0,0.576
bpsk,12.857142857142858,iq_energy,1.0,0.016
bpsk,12.857142857142858,probabilistic,1.0,0.006
bpsk,15.0,cnn,1.0,1.0
bpsk,15.0,fft_peak,1.0,0.552
bpsk,15.0,iq_energy,1.0,0.008
bpsk,15.0,probabilistic,1.0,0.006
cw,-15.0,cnn,1.0,1.0
cw,-15.0,fft_peak,1.0,0.604
cw,-15.0,iq_energy,0.114,0.01
cw,-15.0,probabilistic,0.024,0.002
cw,-12.857142857142858,cnn,1.0,1.0
cw,-12.857142857142858,fft_peak,1.0,0.572
cw,-12.857142857142858,iq_energy,0.266,0.014
cw,-12.857142857142858,probabilistic,0.03,0.008
cw,-10.714285714285715,cnn,1.0,1.0
cw,-10.714285714285715,fft_peak,1.0,0.59
cw,-10.714285714285715,iq_energy,0.628,0.014
cw,-10.714285714285715,probabilistic,0.054,0.02
cw,-8.571428571428571,cnn,1.0,1.0
cw,-8.571428571428571,fft_peak,1.0,0.568
cw,-8.571428571428571,iq_energy,0.974,0.02
cw,-8.571428571428571,probabilistic,0.128,0.006
cw,-6.428571428571429,cnn,1.0,1.0
cw,-6.428571428571429,fft_peak,1.0,0.582
cw,-6.428571428571429,iq_energy,1.0,0.02
cw,-6.428571428571429,probabilistic,0.282,0.014
cw,-4.2857142857142865,cnn,1.0,1.0
cw,-4.2857142857142865,fft_peak,1.0,0.57
cw,-4.2857142857142865,iq_energy,1.0,0.014
cw,-4.2857142857142865,probabilistic,0.624,0.006
cw,-2.1428571428571423,cnn,1.0,1.0
cw,-2.1428571428571423,fft_peak,1.0,0.62
cw,-2.1428571428571423,iq_energy,1.0,0.002
cw,-2.1428571428571423,probabilistic,0.896,0.016
cw,0.0,cnn,1.0,1.0
cw,0.0,fft_peak,1.0,0.584
cw,0.0,iq_energy,1.0,0.012
cw,0.0,probabilistic,0.996,0.016
